dim1,dim2,channel,value
9,5,1,43.8478
9,8,2,0.448179
9,8,1,36.8184
9,8,0,1.42534
0,6,3,3.22083
3,3,3,20.5527
3,3,2,28.1675
3,3,1,21.9534
3,3,0,0.0445324
6,3,3,18.2039
6,3,2,45.7458
6,3,1,50.8308
6,3,0,3.33333
3,0,3,11.0041
3,0,2,17.5161
3,0,1,7.15526
3,0,0,7.90313
6,0,3,13.6339
6,0,2,30.9534
6,0,1,11.9583
6,0,0,15.2471
9,0,3,5.49565
9,0,2,21.5333
9,0,1,3.15826
9,0,0,6.30735
0,3,3,24.6367
0,3,2,29.2418
0,3,1,25.2368
0,3,0,20.7333
0,0,3,3.20612
0,0,2,4.25241
0,0,1,4.85949
0,0,0,3.29105
3,6,2,27.8035
3,6,1,51.2382
6,6,2,7.02004
6,6,1,43.6193
9,6,2,1.19152
9,6,1,39.3343
9,9,1,3.79489
9,9,0,0.95309
9,3,3,13.0087
9,3,2,54.9419
9,3,1,32.747
0,4,3,25.5632
0,4,2,24.3234
0,4,1,21.1622
0,4,0,17.3555
3,1,3,23.4009
3,1,2,41.3498
3,1,1,17.5744
3,1,0,19.0735
6,1,3,17.4017
6,1,2,40.4583
6,1,1,11.0866
6,1,0,14.67
9,1,3,24.3868
9,1,2,42.7262
9,1,1,14.6528
9,1,0,12.4276
0,1,3,7.38438
0,1,2,10.1226
0,1,1,11.199
0,1,0,6.85081
3,4,2,14.2677
3,4,1,37.9929
0,10,0,3.38039
3,7,1,31.8533
3,10,0,8.70722
6,4,2,56.6465
6,4,1,40.8456
6,4,0,10.1498
6,7,1,29.9109
9,4,2,38.5856
9,4,1,34.4919
9,7,1,31.7244
6,10,0,3.52412
9,10,0,1.23155
0,5,3,17.7991
0,5,1,5.24863
0,5,0,5.39787
3,2,3,29.0949
3,2,2,53.9822
3,2,1,20.9296
3,2,0,16.9902
6,2,3,13.2577
6,2,2,36.6227
6,2,1,27.8534
0,2,3,14.3278
0,2,2,19.9054
0,2,1,18.7803
0,2,0,13.619
9,2,3,24.4536
9,2,2,58.5896
9,2,1,30.9661
9,2,0,6.6503
3,5,2,38.5835
3,5,1,58.9113
3,5,0,3.92729
3,8,1,5.24961
6,5,2,31.1727
6,5,1,37.4715
6,8,1,7.9325
9,5,2,29.6606
9,5,1,44.4017
9,8,1,21.6537
1,6,2,20.8095
1,6,1,2.91671
1,3,3,37.8452
1,3,2,57.2005
1,3,1,8.98384
1,3,0,16.2993
4,3,3,11.8962
4,3,2,22.3328
4,3,1,39.9152
1,0,3,7.10314
1,0,2,10.3232
1,0,1,5.47461
1,0,0,5.61586
4,0,3,12.51
4,0,2,20.6293
4,0,1,11.1062
4,0,0,11.0399
7,0,3,16.6307
7,0,2,34.4863
7,0,1,7.96008
7,0,0,15.8533
10,0,2,8.92117
10,0,1,7.44212
10,0,0,0.789391
4,6,2,5.8012
4,6,1,20.5034
7,6,2,6.72267
7,6,1,38.8755
7,3,3,11.3569
7,3,2,36.6436
7,3,1,54.2163
7,3,0,12.2469
10,3,2,29.8855
10,3,1,37.4562
10,6,2,5.31294
10,6,1,55.2731
1,4,3,35.1932
1,4,2,48.854
1,4,0,3.98013
1,1,3,16.6245
1,1,2,22.675
1,1,1,10.8185
1,1,0,11.9344
4,1,3,22.7569
4,1,2,46.58
4,1,1,23.5297
4,1,0,22.7834
7,1,3,15.9527
7,1,2,41.5502
7,1,1,22.9205
7,1,0,13.1158
1,7,1,5.35562
10,1,3,1.65993
10,1,2,22.7579
10,1,1,12.0786
10,1,0,5.33364
1,10,0,9.46786
4,4,2,34.9955
4,4,1,70.7575
4,4,0,9.84231
4,7,1,13.5325
7,4,2,24.5658
7,4,1,35.1545
7,4,0,5.09647
7,7,1,19.4186
10,4,2,22.4469
10,4,1,58.9744
10,7,1,31.7385
4,10,0,5.95553
7,10,0,3.05945
1,5,3,21.0814
1,5,2,29.9776
1,2,3,28.9345
1,2,2,42.4753
1,2,1,17.2152
1,2,0,19.934
4,2,3,22.0632
4,2,2,44.9178
4,2,1,22.8074
4,2,0,13.5132
7,2,3,14.049
7,2,2,38.4814
7,2,1,50.1907
7,2,0,10.8957
4,5,2,38.4516
4,5,1,55.8765
4,5,0,16.7972
4,8,1,9.91622
7,5,2,20.1517
7,5,1,41.9792
7,8,1,2.4441
10,2,3,2.98522
10,2,2,30.5001
10,2,1,19.6
10,2,0,0.645973
10,5,2,16.644
10,5,1,67.8811
10,8,1,12.7934
2,3,3,33.9728
2,3,2,49.9974
2,3,1,5.32357
2,3,0,3.50299
5,3,3,13.5732
5,3,2,37.7181
5,3,1,52.4853
5,3,0,4.01017
2,0,3,9.82549
2,0,2,14.5765
2,0,1,3.4022
2,0,0,5.79189
5,0,3,12.4988
5,0,2,25.655
5,0,1,13.1471
5,0,0,13.8831
8,0,3,14.3388
8,0,2,31.8608
8,0,1,6.49567
8,0,0,13.1531
2,6,2,46.0862
2,6,1,47.2258
5,6,1,27.5
5,9,0,2.83424
8,6,2,0.0359061
8,6,1,28.1208
8,9,0,0.829272
8,3,3,13.4258
8,3,2,51.6497
8,3,1,38.4544
8,3,0,7.04751
2,1,3,23.9356
2,1,2,34.0831
2,1,1,10.3669
2,1,0,14.3211
5,1,3,24.646
5,1,2,48.7643
5,1,1,14.6261
5,1,0,21.8602
8,1,3,26.0219
8,1,2,50.5287
8,1,1,24.1101
8,1,0,15.9143
2,4,3,15.8025
2,4,2,27.8521
2,4,1,13.0781
2,10,0,9.82547
2,7,2,15.0533
2,7,1,34.4948
5,4,3,2.00612
5,4,2,65.6523
5,4,1,50.3094
5,4,0,14.1256
5,7,1,34.1808
8,4,2,27.5407
8,4,1,32.4051
8,4,0,1.20377
8,7,1,16.2005
5,10,0,2.49691
8,10,0,1.51854
2,2,3,33.9547
2,2,2,56.0182
2,2,1,12.6761
2,2,0,21.0461
5,2,3,16.5441
5,2,2,43.9447
5,2,1,24.5231
5,2,0,3.88356
8,2,3,25.5491
8,2,2,61.132
8,2,1,41.5761
8,2,0,16.4565
2,5,2,35.2137
2,5,1,35.8632
2,8,1,2.65314
5,5,2,38.1056
5,5,1,25.3683
5,8,1,17.3701
8,5,2,12.2416
8,5,1,33.5732
8,8,1,6.87578
0,6,3,3.22083
3,3,3,20.5527
3,3,2,28.1675
3,3,1,21.9534
3,3,0,0.0445324
6,3,3,18.2039
6,3,2,45.7458
6,3,1,50.8308
6,3,0,3.33333
3,0,3,11.0041
3,0,2,17.5161
3,0,1,7.15526
3,0,0,7.90313
6,0,3,13.6339
6,0,2,30.9534
6,0,1,11.9583
6,0,0,15.2471
9,0,3,5.49565
9,0,2,21.5333
9,0,1,3.15826
9,0,0,6.30735
0,3,3,24.6367
0,3,2,29.2418
0,3,1,25.2368
0,3,0,20.7333
0,0,3,3.20612
0,0,2,4.25241
0,0,1,4.85949
0,0,0,3.29105
3,6,2,27.8035
3,6,1,51.2382
6,6,2,7.02004
6,6,1,43.6193
9,6,2,1.19152
9,6,1,39.3343
9,9,1,3.79489
9,9,0,0.95309
9,3,3,13.0087
9,3,2,54.9419
9,3,1,32.747
0,4,3,25.5632
0,4,2,24.3234
0,4,1,21.1622
0,4,0,17.3555
3,1,3,23.4009
3,1,2,41.3498
3,1,1,17.5744
3,1,0,19.0735
6,1,3,17.4017
6,1,2,40.4583
6,1,1,11.0866
6,1,0,14.67
9,1,3,24.3868
9,1,2,42.7262
9,1,1,14.6528
9,1,0,12.4276
0,1,3,7.38438
0,1,2,10.1226
0,1,1,11.199
0,1,0,6.85081
3,4,2,14.2677
3,4,1,37.9929
0,10,0,3.38039
3,7,1,31.8533
3,10,0,8.70722
6,4,2,56.6465
6,4,1,40.8456
6,4,0,10.1498
6,7,1,29.9109
9,4,2,38.5856
9,4,1,34.4919
9,7,1,31.7244
6,10,0,3.52412
9,10,0,1.23155
0,5,3,17.7991
0,5,1,5.24863
0,5,0,5.39787
3,2,3,29.0949
3,2,2,53.9822
3,2,1,20.9296
3,2,0,16.9902
6,2,3,13.2577
6,2,2,36.6227
6,2,1,27.8534
0,2,3,14.3278
0,2,2,19.9054
0,2,1,18.7803
0,2,0,13.619
9,2,3,24.4536
9,2,2,58.5896
9,2,1,30.9661
9,2,0,6.6503
3,5,2,38.5835
3,5,1,58.9113
3,5,0,3.92729
3,8,1,5.24961
6,5,2,31.1727
6,5,1,37.4715
6,8,1,7.9325
9,5,2,29.6606
9,5,1,44.4017
9,8,1,21.6537
1,6,2,20.8095
1,6,1,2.91671
1,3,3,37.8452
1,3,2,57.2005
1,3,1,8.98384
1,3,0,16.2993
4,3,3,11.8962
4,3,2,22.3328
4,3,1,39.9152
1,0,3,7.10314
1,0,2,10.3232
1,0,1,5.47461
1,0,0,5.61586
4,0,3,12.51
4,0,2,20.6293
4,0,1,11.1062
4,0,0,11.0399
7,0,3,16.6307
7,0,2,34.4863
7,0,1,7.96008
7,0,0,15.8533
10,0,2,8.92117
10,0,1,7.44212
10,0,0,0.789391
4,6,2,5.8012
4,6,1,20.5034
7,6,2,6.72267
7,6,1,38.8755
7,3,3,11.3569
7,3,2,36.6436
7,3,1,54.2163
7,3,0,12.2469
10,3,2,29.8855
10,3,1,37.4562
10,6,2,5.31294
10,6,1,55.2731
1,4,3,35.1932
1,4,2,48.854
1,4,0,3.98013
1,1,3,16.6245
1,1,2,22.675
1,1,1,10.8185
1,1,0,11.9344
4,1,3,22.7569
4,1,2,46.58
4,1,1,23.5297
4,1,0,22.7834
7,1,3,15.9527
7,1,2,41.5502
7,1,1,22.9205
7,1,0,13.1158
1,7,1,5.35562
10,1,3,1.65993
10,1,2,22.7579
10,1,1,12.0786
10,1,0,5.33364
1,10,0,9.46786
4,4,2,34.9955
4,4,1,70.7575
4,4,0,9.84231
4,7,1,13.5325
7,4,2,24.5658
7,4,1,35.1545
7,4,0,5.09647
7,7,1,19.4186
10,4,2,22.4469
10,4,1,58.9744
10,7,1,31.7385
4,10,0,5.95553
7,10,0,3.05945
1,5,3,21.0814
1,5,2,29.9776
1,2,3,28.9345
1,2,2,42.4753
1,2,1,17.2152
1,2,0,19.934
4,2,3,22.0632
4,2,2,44.9178
4,2,1,22.8074
4,2,0,13.5132
7,2,3,14.049
7,2,2,38.4814
7,2,1,50.1907
7,2,0,10.8957
4,5,2,38.4516
4,5,1,55.8765
4,5,0,16.7972
4,8,1,9.91622
7,5,2,20.1517
7,5,1,41.9792
7,8,1,2.4441
10,2,3,2.98522
10,2,2,30.5001
10,2,1,19.6
10,2,0,0.645973
10,5,2,16.644
10,5,1,67.8811
10,8,1,12.7934
2,3,3,33.9728
2,3,2,49.9974
2,3,1,5.32357
2,3,0,3.50299
5,3,3,13.5732
5,3,2,37.7181
5,3,1,52.4853
5,3,0,4.01017
2,0,3,9.82549
2,0,2,14.5765
2,0,1,3.4022
2,0,0,5.79189
5,0,3,12.4988
5,0,2,25.655
5,0,1,13.1471
5,0,0,13.8831
8,0,3,14.3388
8,0,2,31.8608
8,0,1,6.49567
8,0,0,13.1531
2,6,2,46.0862
2,6,1,47.2258
5,6,1,27.5
5,9,0,2.83424
8,6,2,0.0359061
8,6,1,28.1208
8,9,0,0.829272
8,3,3,13.4258
8,3,2,51.6497
8,3,1,38.4544
8,3,0,7.04751
2,1,3,23.9356
2,1,2,34.0831
2,1,1,10.3669
2,1,0,14.3211
5,1,3,24.646
5,1,2,48.7643
5,1,1,14.6261
5,1,0,21.8602
8,1,3,26.0219
8,1,2,50.5287
8,1,1,24.1101
8,1,0,15.9143
2,4,3,15.8025
2,4,2,27.8521
2,4,1,13.0781
2,10,0,9.82547
2,7,2,15.0533
2,7,1,34.4948
5,4,3,2.00612
5,4,2,65.6523
5,4,1,50.3094
5,4,0,14.1256
5,7,1,34.1808
8,4,2,27.5407
8,4,1,32.4051
8,4,0,1.20377
8,7,1,16.2005
5,10,0,2.49691
8,10,0,1.51854
2,2,3,33.9547
2,2,2,56.0182
2,2,1,12.6761
2,2,0,21.0461
5,2,3,16.5441
5,2,2,43.9447
5,2,1,24.5231
5,2,0,3.88356
8,2,3,25.5491
8,2,2,61.132
8,2,1,41.5761
8,2,0,16.4565
2,5,2,35.2137
2,5,1,35.8632
2,8,1,2.65314
5,5,2,38.1056
5,5,1,25.3683
5,8,1,17.3701
8,5,2,12.2416
8,5,1,33.5732
8,8,1,6.87578
0,6,3,3.22083
3,3,3,20.5527
3,3,2,28.1675
3,3,1,21.9534
3,3,0,0.0445324
6,3,3,18.2039
6,3,2,45.7458
6,3,1,50.8308
6,3,0,3.33333
3,0,3,11.0041
3,0,2,17.5161
3,0,1,7.15526
3,0,0,7.90313
6,0,3,13.6339
6,0,2,30.9534
6,0,1,11.9583
6,0,0,15.2471
9,0,3,5.49565
9,0,2,21.5333
9,0,1,3.15826
9,0,0,6.30735
0,3,3,24.6367
0,3,2,29.2418
0,3,1,25.2368
0,3,0,20.7333
0,0,3,3.20612
0,0,2,4.25241
0,0,1,4.85949
0,0,0,3.29105
3,6,2,27.8035
3,6,1,51.2382
6,6,2,7.02004
6,6,1,43.6193
9,6,2,1.19152
9,6,1,39.3343
9,9,1,3.79489
9,9,0,0.95309
9,3,3,13.0087
9,3,2,54.9419
9,3,1,32.747
0,4,3,25.5632
0,4,2,24.3234
0,4,1,21.1622
0,4,0,17.3555
3,1,3,23.4009
3,1,2,41.3498
3,1,1,17.5744
3,1,0,19.0735
6,1,3,17.4017
6,1,2,40.4583
6,1,1,11.0866
6,1,0,14.67
9,1,3,24.3868
9,1,2,42.7262
9,1,1,14.6528
9,1,0,12.4276
0,1,3,7.38438
0,1,2,10.1226
0,1,1,11.199
0,1,0,6.85081
3,4,2,14.2677
3,4,1,37.9929
0,10,0,3.38039
3,7,1,31.8533
3,10,0,8.70722
6,4,2,56.6465
6,4,1,40.8456
6,4,0,10.1498
6,7,1,29.9109
9,4,2,38.5856
9,4,1,34.4919
9,7,1,31.7244
6,10,0,3.52412
9,10,0,1.23155
0,5,3,17.7991
0,5,1,5.24863
0,5,0,5.39787
3,2,3,29.0949
3,2,2,53.9822
3,2,1,20.9296
3,2,0,16.9902
6,2,3,13.2577
6,2,2,36.6227
6,2,1,27.8534
0,2,3,14.3278
0,2,2,19.9054
0,2,1,18.7803
0,2,0,13.619
9,2,3,24.4536
9,2,2,58.5896
9,2,1,30.9661
9,2,0,6.6503
3,5,2,38.5835
3,5,1,58.9113
3,5,0,3.92729
3,8,1,5.24961
6,5,2,31.1727
6,5,1,37.4715
6,8,1,7.9325
9,5,2,29.6606
9,5,1,44.4017
9,8,1,21.6537
1,6,2,20.8095
1,6,1,2.91671
1,3,3,37.8452
1,3,2,57.2005
1,3,1,8.98384
1,3,0,16.2993
4,3,3,11.8962
4,3,2,22.3328
4,3,1,39.9152
1,0,3,7.10314
1,0,2,10.3232
1,0,1,5.47461
1,0,0,5.61586
4,0,3,12.51
4,0,2,20.6293
4,0,1,11.1062
4,0,0,11.0399
7,0,3,16.6307
7,0,2,34.4863
7,0,1,7.96008
7,0,0,15.8533
10,0,2,8.92117
10,0,1,7.44212
10,0,0,0.789391
4,6,2,5.8012
4,6,1,20.5034
7,6,2,6.72267
7,6,1,38.8755
7,3,3,11.3569
7,3,2,36.6436
7,3,1,54.2163
7,3,0,12.2469
10,3,2,29.8855
10,3,1,37.4562
10,6,2,5.31294
10,6,1,55.2731
1,4,3,35.1932
1,4,2,48.854
1,4,0,3.98013
1,1,3,16.6245
1,1,2,22.675
1,1,1,10.8185
1,1,0,11.9344
4,1,3,22.7569
4,1,2,46.58
4,1,1,23.5297
4,1,0,22.7834
7,1,3,15.9527
7,1,2,41.5502
7,1,1,22.9205
7,1,0,13.1158
1,7,1,5.35562
10,1,3,1.65993
10,1,2,22.7579
10,1,1,12.0786
10,1,0,5.33364
1,10,0,9.46786
4,4,2,34.9955
4,4,1,70.7575
4,4,0,9.84231
4,7,1,13.5325
7,4,2,24.5658
7,4,1,35.1545
7,4,0,5.09647
7,7,1,19.4186
10,4,2,22.4469
10,4,1,58.9744
10,7,1,31.7385
4,10,0,5.95553
7,10,0,3.05945
1,5,3,21.0814
1,5,2,29.9776
1,2,3,28.9345
1,2,2,42.4753
1,2,1,17.2152
1,2,0,19.934
4,2,3,22.0632
4,2,2,44.9178
4,2,1,22.8074
4,2,0,13.5132
7,2,3,14.049
7,2,2,38.4814
7,2,1,50.1907
7,2,0,10.8957
4,5,2,38.4516
4,5,1,55.8765
4,5,0,16.7972
4,8,1,9.91622
7,5,2,20.1517
7,5,1,41.9792
7,8,1,2.4441
10,2,3,2.98522
10,2,2,30.5001
10,2,1,19.6
10,2,0,0.645973
10,5,2,16.644
10,5,1,67.8811
10,8,1,12.7934
2,3,3,33.9728
2,3,2,49.9974
2,3,1,5.32357
2,3,0,3.50299
5,3,3,13.5732
5,3,2,37.7181
5,3,1,52.4853
5,3,0,4.01017
2,0,3,9.82549
2,0,2,14.5765
2,0,1,3.4022
2,0,0,5.79189
5,0,3,12.4988
5,0,2,25.655
5,0,1,13.1471
5,0,0,13.8831
8,0,3,14.3388
8,0,2,31.8608
8,0,1,6.49567
8,0,0,13.1531
2,6,2,46.0862
2,6,1,47.2258
5,6,1,27.5
5,9,0,2.83424
8,6,2,0.0359061
8,6,1,28.1208
8,9,0,0.829272
8,3,3,13.4258
8,3,2,51.6497
8,3,1,38.4544
8,3,0,7.04751
2,1,3,23.9356
2,1,2,34.0831
2,1,1,10.3669
2,1,0,14.3211
5,1,3,24.646
5,1,2,48.7643
5,1,1,14.6261
5,1,0,21.8602
8,1,3,26.0219
8,1,2,50.5287
8,1,1,24.1101
8,1,0,15.9143
2,4,3,15.8025
2,4,2,27.8521
2,4,1,13.0781
2,10,0,9.82547
2,7,2,15.0533
2,7,1,34.4948
5,4,3,2.00612
5,4,2,65.6523
5,4,1,50.3094
5,4,0,14.1256
5,7,1,34.1808
8,4,2,27.5407
8,4,1,32.4051
8,4,0,1.20377
8,7,1,16.2005
5,10,0,2.49691
8,10,0,1.51854
2,2,3,33.9547
2,2,2,56.0182
2,2,1,12.6761
2,2,0,21.0461
5,2,3,16.5441
5,2,2,43.9447
5,2,1,24.5231
5,2,0,3.88356
8,2,3,25.5491
8,2,2,61.132
8,2,1,41.5761
8,2,0,16.4565
2,5,2,35.2137
2,5,1,35.8632
2,8,1,2.65314
5,5,2,38.1056
5,5,1,25.3683
5,8,1,17.3701
8,5,2,12.2416
8,5,1,33.5732
8,8,1,6.87578
