dim1,dim2,channel,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,3,0,0
0,3,1,0
0,3,2,0
0,3,3,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,1,0,0
1,1,1,0
1,1,2,0
1,1,3,0
1,2,0,0
1,2,1,0
1,2,2,0
1,2,3,0
1,3,0,0
1,3,1,0
1,3,2,0
1,3,3,0
1,4,0,0
1,4,1,0
1,4,2,0
1,4,3,0
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,1,0,0
2,1,1,0
2,1,2,0
2,1,3,0
2,2,0,0
2,2,1,0
2,2,2,0
2,2,3,0
2,3,0,0
2,3,1,0
2,3,2,0
2,3,3,0
2,4,0,0
2,4,1,0
2,4,2,0
2,4,3,0
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,0
3,1,0,0
3,1,1,0
3,1,2,0
3,1,3,0
3,2,0,0
3,2,1,0
3,2,2,0
3,2,3,0
3,3,0,0
3,3,1,0
3,3,2,0
3,3,3,0
3,4,0,0
3,4,1,0
3,4,2,0
3,4,3,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
4,1,0,0
4,1,1,0
4,1,2,0
4,1,3,0
4,2,0,0
4,2,1,0
4,2,2,0
4,2,3,0
4,3,0,0
4,3,1,0
4,3,2,0
4,3,3,0
4,4,0,0
4,4,1,0
4,4,2,0
4,4,3,0
0,3,0,14.5291
3,1,0,12.2469
0,1,0,20.7333
0,0,0,11.9344
0,4,0,14.2734
1,3,0,6.50124
1,4,0,10.5398
3,3,0,6.27477
3,4,0,13.2807
4,3,0,3.54538
4,4,0,1.42534
0,2,0,17.3555
4,0,0,15.9143
1,2,0,7.17855
1,1,0,21.0461
1,0,0,19.0735
3,0,0,15.8533
3,2,0,10.1498
4,1,0,16.4565
2,0,0,22.7834
2,2,0,16.7972
2,1,0,13.5132
2,4,0,2.83424
4,2,0,1.20377
3,1,1,54.2163
0,4,1,6.06683
1,3,1,51.2382
1,4,1,33.9009
3,3,1,44.2679
3,4,1,39.8519
4,3,1,68.826
4,4,1,36.8184
1,2,1,58.9113
4,2,1,44.4017
1,1,1,21.9534
1,0,1,17.5744
3,0,1,22.9205
4,0,1,24.1101
0,1,1,25.2368
0,0,1,11.199
4,1,1,41.5761
0,2,1,21.1622
3,2,1,41.9792
0,3,1,5.35562
2,1,1,52.4853
2,0,1,23.5297
2,3,1,34.1808
2,2,1,70.7575
2,4,1,17.3701
1,1,2,56.0182
3,1,2,45.7458
1,0,2,41.3498
3,0,2,41.5502
4,0,2,50.5287
0,1,2,57.2005
0,0,2,22.675
1,3,2,46.0862
3,3,2,19.1848
4,3,2,5.13996
4,1,2,61.132
0,2,2,48.854
1,2,2,38.5835
3,2,2,56.6465
4,2,2,38.5856
4,4,2,0.448179
0,3,2,20.8095
2,1,2,44.9178
2,0,2,48.7643
2,3,2,5.8012
2,2,2,65.6523
0,3,3,3.22083
1,1,3,33.9728
3,1,3,18.2039
1,0,3,23.9356
3,0,3,17.4017
0,1,3,37.8452
0,0,3,16.6245
4,1,3,25.5491
0,2,3,35.1932
4,0,3,26.0219
2,1,3,22.0632
2,0,3,24.646
1,2,3,15.8025
2,2,3,2.00612
