dim1,dim2,channel,value
3,22,1,6.38005
6,7,7,8.0484
6,7,2,30.6374
6,7,1,80.0747
6,7,0,5.33092
6,10,7,27.1652
6,10,2,106.392
6,10,1,207.324
6,13,7,64.5214
6,13,4,29.5277
6,13,2,202.98
6,13,1,295.675
6,16,7,83.418
6,16,4,44.4454
6,16,2,211.324
6,16,1,273.083
6,19,7,49.7687
6,19,4,77.498
6,19,2,162.106
6,19,1,165.871
6,22,7,11.141
6,22,4,32.0356
6,22,2,48.0684
6,22,1,25.539
9,7,7,14.9972
9,7,2,54.9737
9,7,1,138.763
9,10,7,41.7693
9,10,4,18.8547
9,10,2,164.764
9,10,1,254.011
9,13,7,59.0493
9,13,4,25.4693
9,13,2,167.816
9,13,1,213.692
9,16,7,47.7142
9,16,4,11.7956
9,16,2,168.891
9,16,1,268.508
12,10,7,67.6138
12,10,4,34.9387
12,10,2,168.446
12,10,1,223.819
12,13,7,45.5997
12,13,4,27.0539
12,13,2,170.272
12,13,1,281.867
12,16,7,64.3308
12,16,4,56.2995
12,16,2,221.538
12,16,1,288.799
15,13,7,72.7901
15,13,4,14.9274
15,13,2,207.62
15,13,1,313.107
15,16,7,80.1868
15,16,4,56.1738
15,16,2,215.619
15,16,1,260.482
15,19,7,45.8125
15,19,4,53.1299
15,19,2,126.795
15,19,1,115.709
18,13,7,50.6994
18,13,4,37.0521
18,13,2,201.75
18,13,1,307.361
18,16,7,64.1178
18,16,4,50.3231
18,16,2,186.175
18,16,1,211.373
18,19,7,39.4362
18,19,4,38.3587
18,19,2,99.6914
18,19,1,77.6598
18,10,7,34.3001
18,10,4,22.1403
18,10,2,142.472
18,10,1,227.894
21,7,7,36.2071
21,7,2,91.608
21,7,1,180.419
21,10,7,71.0806
21,10,4,1.27699
21,10,2,181.05
21,10,1,261.172
21,13,7,86.9196
21,13,4,30.0614
21,13,2,201.42
21,13,1,229.006
21,16,7,57.5855
21,16,4,27.9103
21,16,2,119.533
21,16,1,110.115
21,4,7,4.42218
21,4,2,20.8445
21,4,1,57.421
24,4,2,3.37974
24,4,1,11.0063
24,7,7,0.729068
24,7,3,2.9121
24,7,2,21.7558
24,7,1,43.3064
24,10,7,14.4436
24,10,3,15.5338
24,10,2,43.3607
24,10,1,57.0487
9,19,7,67.6343
9,19,4,71.8614
9,19,2,182.352
9,19,1,180.911
9,22,7,18.6107
9,22,4,27.3537
9,22,2,47.2192
9,22,1,21.1231
12,7,7,14.5141
12,7,2,76.4813
12,7,1,180.738
12,19,7,56.5127
12,19,4,65.2962
12,19,2,145.283
12,19,1,130.634
12,22,7,11.8933
12,22,4,22.0916
12,22,2,34.9093
12,22,1,17.4759
15,4,2,11.8155
15,4,1,55.488
15,4,0,6.51564
15,7,7,26.4858
15,7,2,97.0859
15,7,1,180.678
15,22,7,13.1181
15,22,4,18.5966
15,22,2,33.7737
15,22,1,21.449
18,4,7,7.07399
18,4,2,27.3884
18,4,1,81.0545
18,4,0,1.24571
18,7,7,34.1072
18,7,4,4.86748
18,7,2,98.4512
18,7,1,168.782
6,4,7,1.04725
6,4,2,5.99914
6,4,1,19.669
6,4,0,2.421
9,4,7,4.04078
9,4,2,10.3358
9,4,1,30.2746
9,4,0,0.684743
9,1,1,1.90262
9,1,0,1.11201
12,1,5,0.244742
12,1,2,0.0104731
12,1,1,0.976537
12,1,0,0.429991
12,4,7,1.74366
12,4,2,7.27523
12,4,1,35.2632
12,4,0,5.27996
15,1,1,0.931516
15,1,0,0.571979
15,10,7,47.0631
15,10,2,144.593
15,10,1,215.496
21,19,7,24.8248
21,19,4,14.1451
21,19,3,4.4832
21,19,2,42.9403
21,19,1,27.234
24,16,7,11.8836
24,16,4,5.85655
24,16,3,6.46797
24,16,2,22.2529
24,16,1,18.4948
24,19,7,3.2515
24,19,4,1.94007
24,19,3,1.6965
24,19,2,4.63538
24,19,1,2.80243
24,13,7,17.8347
24,13,4,1.54307
24,13,3,14.9911
24,13,2,38.3125
24,13,1,47.0768
18,22,7,11.1907
18,22,4,11.3191
18,22,2,23.8443
18,22,1,13.5764
6,25,7,1.23094
6,25,4,2.8149
6,25,2,3.93798
6,25,1,0.93873
3,1,7,0.0102281
3,1,1,0.0264154
3,1,0,0.0229311
3,4,7,0.203169
3,4,4,0.0146719
3,4,2,0.445973
3,4,1,3.07504
3,4,0,0.979018
3,7,4,0.789013
3,7,2,4.00496
3,7,1,15.8461
3,7,0,3.14897
6,1,7,0.546017
6,1,1,1.41542
6,1,0,1.14808
0,16,4,4.20558
0,16,2,3.6249
0,16,1,7.47468
12,25,7,0.256764
12,25,4,0.292209
12,25,2,0.563672
12,25,1,0.113935
15,25,7,0.49527
15,25,4,1.41821
15,25,2,1.6043
15,25,1,0.325247
21,22,7,2.53439
21,22,4,2.42437
21,22,3,1.28402
21,22,2,5.75021
21,22,1,2.8397
24,22,7,0.325784
24,22,4,0.199387
24,22,3,0.263654
24,22,2,0.388053
24,22,1,0.236153
0,13,4,0.478443
0,13,2,0.735747
0,13,1,3.04627
0,13,0,0.536645
9,25,7,0.340471
9,25,4,0.869616
9,25,2,1.05484
9,25,1,0.214757
0,19,4,2.44885
0,19,2,1.24504
0,19,1,0.974271
18,1,7,0.709986
18,1,1,3.92201
18,1,0,2.63037
21,1,5,0.500299
21,1,2,0.321398
21,1,1,3.31111
21,1,0,0.647553
24,1,5,0.331971
24,1,2,0.0451786
24,1,1,0.540107
24,1,0,0.145201
0,10,4,0.207356
0,10,2,0.203977
0,10,1,1.0736
0,10,0,0.239652
3,25,4,0.803267
3,25,2,0.394259
3,25,1,0.293826
18,25,4,0.612748
18,25,2,0.537836
18,25,1,0.178374
21,25,7,0.513381
21,25,6,0.174754
21,25,4,0.165401
21,25,3,0.293878
21,25,2,0.356954
21,25,1,0.399628
3,11,7,1.47977
3,11,4,13.5238
3,11,2,27.4738
3,11,1,77.8141
3,11,0,10.9699
3,14,4,40.6097
3,14,2,68.81
3,14,1,128.165
3,14,0,0.803271
3,17,7,0.0607598
3,17,4,55.7601
3,17,2,75.0311
3,17,1,92.9975
3,20,4,32.3719
3,20,2,32.6288
3,20,1,26.7559
3,23,4,4.67084
3,23,2,3.6171
3,23,1,3.08442
6,8,7,11.573
6,8,2,47.9474
6,8,1,120.216
6,8,0,3.33346
6,11,7,30.2715
6,11,4,2.42477
6,11,2,137.315
6,11,1,250.583
6,14,7,81.626
6,14,4,31.9301
6,14,2,216.653
6,14,1,288.321
6,17,7,74.9005
6,17,4,56.4148
6,17,2,202.101
6,17,1,252.29
6,20,7,37.3737
6,20,4,72.5602
6,20,2,128.02
6,20,1,107.82
6,23,7,6.89689
6,23,4,14.3717
6,23,2,22.045
6,23,1,10.7712
6,5,7,4.43667
6,5,2,10.8538
6,5,1,32.7015
6,5,0,3.79917
9,8,7,21.988
9,8,2,88.144
9,8,1,191.455
9,11,7,54.665
9,11,4,30.0181
9,11,2,184.376
9,11,1,245.639
9,14,7,45.8655
9,14,4,15.7296
9,14,2,150.899
9,14,1,223.045
9,17,7,57.5281
9,17,4,32.4124
9,17,2,187.314
9,17,1,273.525
12,11,7,60.4348
12,11,4,23.2943
12,11,2,157.921
12,11,1,226.839
12,14,7,49.9387
12,14,4,35.059
12,14,2,193.756
12,14,1,297.642
12,17,7,68.6995
12,17,4,70.2355
12,17,2,215.381
12,17,1,247.626
15,14,7,77.6064
15,14,4,34.093
15,14,2,224.724
15,14,1,311.683
15,17,7,73.7319
15,17,4,63.4868
15,17,2,194.886
15,17,1,211.944
15,20,7,34.4049
15,20,4,45.5044
15,20,2,92.2787
15,20,1,72.784
18,14,7,63.3709
18,14,4,57.2285
18,14,2,218.12
18,14,1,287.193
18,17,7,60.8305
18,17,4,51.8653
18,17,2,160.911
18,17,1,170.909
18,20,7,28.646
18,20,4,29.0205
18,20,2,65.3459
18,20,1,49.076
18,11,7,32.0243
18,11,4,16.3013
